"SUBJECT","Subject","LOCATION","Country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1956-12","Dec-1956","IDX","Index","0","Units",,,100.0991,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-01","Jan-1957","IDX","Index","0","Units",,,99.86157,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-02","Feb-1957","IDX","Index","0","Units",,,99.38831,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-03","Mar-1957","IDX","Index","0","Units",,,98.77551,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-04","Apr-1957","IDX","Index","0","Units",,,98.26735,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-05","May-1957","IDX","Index","0","Units",,,98.13716,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-06","Jun-1957","IDX","Index","0","Units",,,98.27596,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-07","Jul-1957","IDX","Index","0","Units",,,98.3853,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-08","Aug-1957","IDX","Index","0","Units",,,98.36108,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-09","Sep-1957","IDX","Index","0","Units",,,98.14235,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-10","Oct-1957","IDX","Index","0","Units",,,97.65192,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-11","Nov-1957","IDX","Index","0","Units",,,97.11963,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1957-12","Dec-1957","IDX","Index","0","Units",,,96.59035,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-01","Jan-1958","IDX","Index","0","Units",,,96.31007,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-02","Feb-1958","IDX","Index","0","Units",,,96.50266,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-03","Mar-1958","IDX","Index","0","Units",,,96.93954,,
"BSCICP03","OECD Standardised BCI, Amplitude adjusted (Long term average=100), sa","USA","United States","M","Monthly","1958-04","Apr-1958","IDX","Index","0","Units",,,97.5413,,
