Date,Open,High,Low,Close,Adj Close, Volume 
10/1/1950,19.690001,20.16,19.530001,19.530001,19.530001,"48,360,000"
11/1/1950,19.559999,20.32,19.360001,19.51,19.51,"43,180,000"
12/1/1950,19.66,20.43,19,20.41,20.41,"60,830,000"
1/1/1951,20.77,21.74,20.690001,21.66,21.66,"70,180,000"
2/1/1951,21.77,22.209999,21.76,21.799999,21.799999,"41,210,000"
3/1/1951,21.85,21.950001,21.25,21.4,21.4,"35,530,000"
4/1/1951,21.32,22.43,21.26,22.43,22.43,"37,790,000"
5/1/1951,22.530001,22.809999,21.030001,21.52,21.52,"38,440,000"
6/1/1951,21.48,22.049999,20.959999,20.959999,20.959999,"36,220,000"
7/1/1951,21.1,22.629999,21.1,22.4,22.4,"27,990,000"
8/1/1951,22.51,23.280001,22.51,23.280001,23.280001,"33,630,000"
9/1/1951,23.280001,23.709999,23.26,23.26,23.26,"36,420,000"
10/1/1951,23.469999,23.85,22.450001,22.940001,22.940001,"42,930,000"
11/1/1951,23.1,23.1,22.299999,22.879999,22.879999,"29,280,000"
12/1/1951,22.940001,23.77,22.940001,23.77,23.77,"34,610,000"
1/1/1952,23.799999,24.66,23.74,24.139999,24.139999,"41,560,000"
2/1/1952,24.299999,24.41,23.09,23.26,23.26,"27,190,000"
3/1/1952,23.280001,24.370001,23.280001,24.370001,24.370001,"29,500,000"
4/1/1952,24.18,24.18,23.32,23.32,23.32,"28,880,000"
5/1/1952,23.17,23.940001,23.17,23.860001,23.860001,"24,010,000"
6/1/1952,23.799999,24.959999,23.780001,24.959999,24.959999,"25,530,000"
7/1/1952,25.120001,25.4,24.809999,25.4,25.4,"24,100,000"
8/1/1952,25.450001,25.549999,24.83,25.030001,25.030001,"20,890,000"
9/1/1952,25.15,25.25,24.450001,24.540001,24.540001,"24,100,000"
10/1/1952,24.48,24.58,23.799999,24.52,24.52,"25,940,000"
11/1/1952,24.6,25.66,24.6,25.66,25.66,"30,210,000"
12/1/1952,25.68,26.59,25.610001,26.57,26.57,"40,480,000"
1/1/1953,26.540001,26.66,25.860001,26.379999,26.379999,"34,060,000"
2/1/1953,26.51,26.540001,25.48,25.9,25.9,"30,170,000"
3/1/1953,25.93,26.33,25.290001,25.290001,25.290001,"42,510,000"
4/1/1953,25.25,25.25,24.190001,24.620001,24.620001,"34,370,000"
5/1/1953,24.73,25.059999,24.459999,24.540001,24.540001,"25,730,000"
6/1/1953,24.15,24.219999,23.540001,24.139999,24.139999,"26,080,000"
7/1/1953,24.24,24.75,24.07,24.75,24.75,"22,240,000"
8/1/1953,24.84,24.84,23.32,23.32,23.32,"23,890,000"
9/1/1953,23.42,23.65,22.709999,23.35,23.35,"27,150,000"
10/1/1953,23.49,24.58,23.389999,24.540001,24.540001,"25,710,000"
11/1/1953,24.66,24.76,24.25,24.76,24.76,"26,640,000"
12/1/1953,24.780001,24.99,24.549999,24.809999,24.809999,"36,150,000"
1/1/1954,24.950001,26.09,24.799999,26.08,26.08,"33,420,000"
2/1/1954,25.99,26.299999,25.809999,26.15,26.15,"33,260,000"
3/1/1954,26.25,26.940001,26.25,26.940001,26.940001,"44,050,000"
4/1/1954,27.17,28.26,27.01,28.26,28.26,"43,500,000"
5/1/1954,28.209999,29.190001,28.209999,29.190001,29.190001,"41,900,000"
6/1/1954,29.190001,29.43,28.15,29.209999,29.209999,"42,230,000"
7/1/1954,29.209999,30.879999,29.209999,30.879999,30.879999,"51,840,000"
8/1/1954,30.99,31.209999,29.83,29.83,29.83,"56,900,000"
9/1/1954,30.040001,32.689999,30.040001,32.310001,32.310001,"41,220,000"
10/1/1954,32.290001,32.759998,31.68,31.68,31.68,"44,170,000"
11/1/1954,31.790001,34.549999,31.790001,34.240002,34.240002,"63,010,000"
12/1/1954,33.990002,35.98,33.990002,35.98,35.98,"76,480,000"
1/1/1955,36.75,36.75,34.580002,36.630001,36.630001,"74,650,000"
2/1/1955,36.720001,37.150002,36.439999,36.759998,36.759998,"60,810,000"
3/1/1955,36.830002,37.52,34.959999,36.580002,36.580002,"65,780,000"
4/1/1955,36.950001,38.32,36.830002,37.959999,37.959999,"53,790,000"
5/1/1955,38.040001,38.040001,36.970001,37.91,37.91,"45,450,000"
6/1/1955,37.959999,41.029999,37.959999,41.029999,41.029999,"58,120,000"
7/1/1955,41.189999,43.759998,41.189999,43.52,43.52,"48,470,000"
8/1/1955,42.93,43.18,41.740002,43.18,43.18,"41,800,000"
9/1/1955,43.369999,45.630001,42.610001,43.669998,43.669998,"60,080,000"
10/1/1955,42.490002,42.990002,40.799999,42.34,42.34,"42,150,000"
11/1/1955,42.279999,46.41,42.279999,45.509998,45.509998,"46,360,000"
12/1/1955,45.349998,45.889999,44.950001,45.48,45.48,"50,990,000"
1/1/1956,45.16,45.16,43.110001,43.82,43.82,"47,160,000"
2/1/1956,44.029999,45.43,43.419998,45.34,45.34,"46,370,000"
3/1/1956,45.540001,48.869999,45.540001,48.48,48.48,"60,310,000"
4/1/1956,48.700001,48.849998,47.09,48.380001,48.380001,"54,100,000"
5/1/1956,48.16,48.509998,44.099998,45.200001,45.200001,"53,210,000"
6/1/1956,45.580002,47.130001,45.139999,46.970001,46.970001,"37,180,000"
7/1/1956,46.93,49.48,46.93,49.389999,49.389999,"45,650,000"
8/1/1956,49.619999,49.639999,46.939999,47.509998,47.509998,"44,450,000"
9/1/1956,47.889999,48.099998,45.349998,45.349998,45.349998,"37,220,000"
10/1/1956,44.700001,47,44.700001,45.580002,45.580002,"40,300,000"
11/1/1956,46.52,47.599998,44.380001,45.080002,45.080002,"43,550,000"
12/1/1956,45.98,47.040001,45.84,46.669998,46.669998,"46,330,000"
1/1/1957,46.200001,46.66,44.400002,44.720001,44.720001,"48,140,000"
2/1/1957,44.619999,44.619999,42.389999,43.259998,43.259998,"37,530,000"
3/1/1957,43.740002,44.23,43.740002,44.110001,44.110001,"35,620,000"
4/1/1957,44.139999,45.740002,44.139999,45.740002,45.740002,"48,290,000"
5/1/1957,46.02,47.43,46.02,47.43,47.43,"52,560,000"
6/1/1957,47.369999,48.240002,46.779999,47.369999,47.369999,"43,470,000"
7/1/1957,47.43,49.130001,47.43,47.91,47.91,"48,230,000"
8/1/1957,47.790001,47.790001,43.889999,45.220001,45.220001,"41,390,000"
9/1/1957,45.439999,45.439999,42.419998,42.419998,42.419998,"36,890,000"
10/1/1957,42.759998,43.139999,38.98,41.060001,41.060001,"63,960,000"
11/1/1957,40.439999,41.720001,39.439999,41.720001,41.720001,"48,200,000"
12/1/1957,41.360001,41.540001,39.380001,39.990002,39.990002,"54,440,000"
1/1/1958,40.330002,41.880001,40.330002,41.700001,41.700001,"49,830,000"
2/1/1958,42.040001,42.459999,40.610001,40.84,40.84,"40,190,000"
3/1/1958,41.130001,42.580002,41.130001,42.099998,42.099998,"46,680,000"
4/1/1958,41.93,43.439999,41.330002,43.439999,43.439999,"50,270,000"
5/1/1958,43.540001,44.09,43.119999,44.09,44.09,"54,100,000"
6/1/1958,44.310001,45.34,44.310001,45.240002,45.240002,"56,610,000"
7/1/1958,45.279999,47.189999,45.110001,47.189999,47.189999,"69,430,000"
8/1/1958,47.490002,48.16,47.220001,47.75,47.75,"62,300,000"
9/1/1958,48,50.060001,47.970001,50.060001,50.060001,"71,940,000"
10/1/1958,49.98,51.619999,49.98,51.330002,51.330002,"95,020,000"
11/1/1958,51.560001,53.240002,51.02,52.48,52.48,"74,350,000"
12/1/1958,52.689999,55.209999,52.459999,55.209999,55.209999,"75,940,000"
1/1/1959,55.439999,56.040001,54.889999,55.450001,55.450001,"83,240,000"
